Student ID,student name,Class,Gender,Attendance Percentage,Maths Marks,Science Marks,English Marks,Assignment Score,Study Hours Per Day,Previous Marks,Average Marks
ST288,Rohan Sharma,9th,Male,80.1,71.8,74.8,87.4,69,5.2,50.1,78
ST289,Diya Joshi,9th,Female,87.8,69.2,75,67.2,70,3.8,55.1,70.5
ST290,Varun Gupta,10th,Male,87,58.8,67.2,58.2,73.8,0.5,77.3,61.4
ST291,Meera Sharma,9th,Female,89.6,61.8,76.7,81.4,81.2,4.1,54.5,73.3
ST292,Varun Mehta,8th,Female,88.4,100,96.2,100,89.3,5.5,72.8,98.7
ST293,Yash Shah,10th,Female,77.6,55.1,64,75.6,76.2,2.4,68.2,64.9
ST294,Karan Sharma,8th,Male,86.6,76.3,66.7,59.4,57,2.8,65.6,67.5
ST295,Riya Verma,8th,Female,88.5,64.2,50.8,55,82.6,1.4,60.1,56.7
ST296,Rahul Singh,9th,Female,69.1,78.6,76.1,67.3,100,3.2,80.9,74
ST297,Tanvi Shah,9th,Female,79.3,99,80.2,89.2,76.3,4.3,90.8,89.5
ST298,Riya Verma,9th,Female,88.1,74,72.9,76.5,54.5,3.6,73.6,74.5
ST299,Meera Singh,9th,Male,99.1,100,93.6,93.8,77,6.6,73.9,95.8
ST300,Sahil Singh,9th,Female,90.2,78.8,80.2,86.6,75,2.8,61.8,81.9
